下坑巷,Xiakeng Ln.
下角巷,Xiajiao Ln.
下坪里,Xiaping Vil.
下林里,Xialin Vil.
下城一巷,Xiacheng 1st Ln.
下城二巷,Xiacheng 2nd Ln.
下城里,Xiacheng Vil.
下柑一巷,Xiagan 1st Ln.
下柑二巷,Xiagan 2nd Ln.
下柑三巷,Xiagan 3rd Ln.
下柑四巷,Xiagan 4th Ln.
下厝巷,Xiacuo Ln.
下埔村,Xiapu Vil.
下埔里,Xiapu Vil.
下埔巷,Xiapu Ln.
下罟里,Xiagu Vil.
下埤里,Xiapi Vil.
下崙村,Xialun Vil.
下犁村,Xiali Vil.
下部里,Xiabu Vil.
下麻村,Xiama Vil.
下揖村,Xiayi Vil.
下湖里,Xiahu Vil.
下湖巷,Xiahu Ln.
下湳里,Xianan Vil.
下湳巷,Xianan Ln.
下街里,Xiajie Vil.
下新里,Xiaxin Vil.
下溪里,Xiaxi Vil.
下溪巷,Xiaxi Ln.
下福里,Xiafu Vil.
下寮村,Xialiao Vil.
下寮里,Xialiao Vil.
下寮巷,Xialiao Ln.
下潭村,Xiatan Vil.
下樹巷,Xiashu Ln.
下橋一巷,Xiaqiao 1st Ln.
下橋二巷,Xiaqiao 2nd Ln.
下橋三巷,Xiaqiao 3rd Ln.
下橋五巷,Xiaqiao 5th Ln.
下橋六巷,Xiaqiao 6th Ln.
下橋四巷,Xiaqiao 4th Ln.
下興里,Xiaxing Vil.
下營里,Xiaying Vil.
下灣巷,Xiawan Ln.
丸山村,Wanshan Vil.
久安里,Jiu’an Vil.
久昌里,Jiuchang Vil.
久堂里,Jiutang Vil.
久愛村,Jiu’ai Vil.
千北里,Qianbei Vil.
千甲里,Qianjia Vil.
千秋里,Qianqiu Vil.
千歲一巷,Qiansui 1st Ln.
千歲二巷,Qiansui 2nd Ln.
千歲里,Qiansui Vil.
口社村,Koushe Vil.
口湖村,Kouhu Vil.
口寮巷,Kouliao Ln.
土牛里,Tuniu Vil.
土角巷,Tujiao Ln.
土板村,Tuban Vil.
土城里,Tucheng Vil.
土城巷,Tucheng Ln.
土巷,Tu Ln.
土厝村,Tucuo Vil.
土庫村,Tuku Vil.
土庫里,Tuku Vil.
土崎里,Tuqi Vil.
土場巷,Tuchang Ln.
土溝里,Tugou Vil.
士文村,Shiwen Vil.
士林村,Shilin Vil.
士林里,Shilin Vil.
夕泉一巷,Xiquan 1st Ln.
夕泉二巷,Xiquan 2nd Ln.
大千里,Daqian Vil.
大山村,Dashan Vil.
大山里,Dashan Vil.
大山巷,Dashan Ln.
大川巷,Dachuan Ln.
大井巷,Dajing Ln.
大仁里,Daren Vil.
大仁巷,Daren Ln.
大元里,Dayuan Vil.
大內里,Danei Vil.
大屯里,Datun Vil.
大王村,Dawang Vil.
大丘里,Daqiu Vil.
大北里,Dabei Vil.
大占巷,Dazhan Ln.
大平村,Daping Vil.
大平里,Daping Vil.
大平巷,Daping Ln.
大正里,Dazheng Vil.
大永里,Dayong Vil.
大田里,Datian Vil.
大甲里,Dajia Vil.
大石一巷,Dashi 1st Ln.
大石二巷,Dashi 2nd Ln.
大石三巷,Dashi 3rd Ln.
大石五巷,Dashi 5th Ln.
大石六巷,Dashi 6th Ln.
大石四巷,Dashi 4th Ln.
大石村,Dashi Vil.
大石里,Dashi Vil.
大石巷,Dashi Ln.
大光里,Daguang Vil.
大光巷,Daguang Ln.
大全一巷,Daquan 1st Ln.
大全二巷,Daquan 2nd Ln.
大全村,Daquan Vil.
大吉村,Daji Vil.
大同一巷,Datong 1st Ln.
大同二巷,Datong 2nd Ln.
大同西巷,Datong W. Ln.
大同村,Datong Vil.
大同里,Datong Vil.
大同東巷,Datong E. Ln.
大同南巷,Datong S. Ln.
大同巷,Datong Ln.
大圳巷,Dazun Ln.
大宅巷,Dazhai Ln.
大安村,Da’an Vil.
大安里,Da’an Vil.
大庄村,Dazhuang Vil.
大庄里,Dazhuang Vil.
大成一巷,Dacheng 1st Ln.
大成二巷,Dacheng 2nd Ln.
大成三巷,Dacheng 3rd Ln.
大成五巷,Dacheng 5th Ln.
大成里,Dacheng Vil.
大成巷,Dacheng Ln.
